source,target,ligand_complex,receptor_complex,magnitude_rank_ctrl,magnitude_rank_neph,delta_rank_ctrl_minus_neph
PEC,IMM,Col4a5,Cd93,1.0,1.0,0.0
PEC,IMM,Pam,Dpp4,1.0,1.0,0.0
TEC,PEC,Plau,Lrp1,1.0,1.0,0.0
PEC,PEC,Apoe,Lrp1,1.0,1.0,0.0
PEC,PEC,Dll4,Notch2,1.0,1.0,0.0
PEC,SMC,Adm,Calcrl,1.0,1.0,0.0
PEC,SMC,Col4a3,Cd93,1.0,1.0,0.0
TEC,PEC,Icam1,Cav1,1.0,1.0,0.0
TEC,PEC,Hspg2,Lrp1,1.0,1.0,0.0
SMC,PEC,Jag1,Notch2,0.5064012963299216,0.5117096464803603,-0.005308350150438734
POD,PEC,Apoe,Sorl1,0.6666156389390132,0.6726521907351302,-0.006036551796116951
TEC,PEC,Kng2,Plaur,0.011245255480729133,0.01741598554317983,-0.006170730062450697
